"Url Tested","Mobile Performance","Mobile Accessibility","Mobile Best Practices","Mobile Seo","M FCP","M LCP","M CLS","M TBT","M TTI","M SI","Desktop Performance","Desktop Accessibility","Desktop Best Practices","Desktop Seo","D FCP","D LCP","D CLS","D TBT","D TTI","D SI","Date & Time"
https://theplantconcierge.com/blog/,99,94,100,100,0.8 s,0.8 s,0,150 ms,1.0 s,1.0 s,92,94,100,100,0.5 s,0.7 s,0,150 ms,1.0 s,1.0 s,08/21/2023
https://theplantconcierge.com/landscaping-service-winter-dallas/,100,98,100,100,1.1 s,1.1 s,0,0 ms,1.1 s,1.4 s,97,98,100,100,0.9 s,0.9 s,0.001,0 ms,1.1 s,1.4 s,08/21/2023
https://theplantconcierge.com/landscaping-design-style-theme-guide/,98,98,100,100,0.6 s,0.7 s,0,170 ms,0.9 s,1.0 s,97,98,100,100,0.8 s,1.1 s,0,170 ms,0.9 s,1.0 s,08/21/2023
https://theplantconcierge.com/lawn-maintenance-timing-when-to-fertilize-water-and-more-in-dallas-2/,92,94,100,100,0.6 s,0.6 s,0,340 ms,1.1 s,1.0 s,100,94,100,100,0.5 s,0.6 s,0,340 ms,1.1 s,1.0 s,08/21/2023
https://theplantconcierge.com/5-great-uses-for-your-new-pergola/,93,98,100,100,0.5 s,0.7 s,0,320 ms,1.0 s,0.8 s,99,98,100,100,0.7 s,0.9 s,0,320 ms,1.0 s,0.8 s,08/21/2023
https://theplantconcierge.com/9-benefits-of-outdoor-kitchens/,100,98,100,100,0.7 s,0.7 s,0,40 ms,0.8 s,1.1 s,96,98,100,100,0.9 s,1.0 s,0.001,40 ms,0.8 s,1.1 s,08/21/2023
https://theplantconcierge.com/a-comprehensive-guide-to-outdoor-kitchens-design-considerations-more/,90,98,100,100,0.7 s,0.8 s,0,420 ms,1.4 s,1.4 s,98,98,100,100,0.8 s,0.8 s,0.004,420 ms,1.4 s,1.4 s,08/21/2023
https://theplantconcierge.com/outdoor-kitchen-ideas-furnish-your-outdoor-space-with-luxury/,92,98,100,100,0.4 s,0.8 s,0.004,350 ms,1.0 s,0.9 s,83,98,100,100,0.4 s,0.9 s,0,350 ms,1.0 s,0.9 s,08/21/2023
https://theplantconcierge.com/how-to-prevent-wrinkles-in-artificial-turf-6-expert-tips/,98,98,100,100,0.6 s,1.1 s,0,160 ms,0.8 s,1.0 s,97,98,100,100,1.0 s,1.0 s,0.001,160 ms,0.8 s,1.0 s,08/21/2023
https://theplantconcierge.com/5-benefits-of-installing-artificial-turf-around-your-home/,100,98,100,100,0.8 s,0.8 s,0,30 ms,0.9 s,1.3 s,98,98,100,100,0.8 s,0.9 s,0,30 ms,0.9 s,1.3 s,08/21/2023
https://theplantconcierge.com/tips-for-a-successful-landscape-lighting-system-in-highland-park/,100,98,100,100,0.6 s,0.6 s,0,0 ms,0.6 s,0.8 s,86,98,100,100,0.9 s,0.9 s,0.025,0 ms,0.6 s,0.8 s,08/21/2023
https://theplantconcierge.com/who-can-benefit-from-landscape-lighting/,100,98,100,100,0.4 s,0.6 s,0,0 ms,0.5 s,0.5 s,99,98,100,100,0.7 s,0.7 s,0,0 ms,0.5 s,0.5 s,08/21/2023
https://theplantconcierge.com/residential-lawn-maintenance-keeping-your-lawn-beautiful-without-the-hassle/,100,98,100,100,0.9 s,1.1 s,0.045,0 ms,0.9 s,1.2 s,94,98,100,100,0.6 s,0.9 s,0.001,0 ms,0.9 s,1.2 s,08/21/2023
https://theplantconcierge.com/luxury-tree-services-what-they-do-and-why-it-matters/,95,98,100,100,0.6 s,0.7 s,0,250 ms,1.0 s,1.0 s,97,98,100,100,0.9 s,1.0 s,0,250 ms,1.0 s,1.0 s,08/21/2023
https://theplantconcierge.com/lawn-care/,100,98,100,100,0.6 s,0.7 s,0,20 ms,0.7 s,0.9 s,95,98,100,100,0.6 s,0.7 s,0,20 ms,0.7 s,0.9 s,08/21/2023
https://theplantconcierge.com/10-lawn-care-tips-from-dallas-landscaping-professionals/,100,98,100,100,1.1 s,1.1 s,0,0 ms,1.1 s,1.1 s,94,98,100,100,1.0 s,1.2 s,0.005,0 ms,1.1 s,1.1 s,08/21/2023
https://theplantconcierge.com/4-leading-qualities-of-a-reliable-organic-landscape-company/,91,98,100,100,0.4 s,0.6 s,0,370 ms,1.0 s,0.8 s,100,98,100,100,0.5 s,0.6 s,0,370 ms,1.0 s,0.8 s,08/21/2023
https://theplantconcierge.com/tips-for-switching-to-an-organic-landscape-plan/,100,98,100,100,0.8 s,1.1 s,0,30 ms,0.9 s,1.3 s,96,98,100,100,1.0 s,1.0 s,0.001,30 ms,0.9 s,1.3 s,08/21/2023
https://theplantconcierge.com/low-maintenance-landscaping-ideas-dallas/,100,98,100,100,0.8 s,0.8 s,0,0 ms,0.8 s,0.9 s,100,98,100,100,0.5 s,0.7 s,0,0 ms,0.8 s,0.9 s,08/21/2023
https://theplantconcierge.com/8-top-dallas-landscape-maintenance-tips/,98,98,100,100,0.6 s,0.7 s,0,170 ms,0.9 s,1.0 s,94,98,100,100,0.6 s,0.7 s,0,170 ms,0.9 s,1.0 s,08/21/2023
https://theplantconcierge.com/a-comprehensive-guide-to-installing-a-lawn-drainage-system-in-dallas/,100,98,100,100,0.6 s,0.7 s,0.003,60 ms,0.7 s,1.2 s,97,98,100,100,0.9 s,1.0 s,0.003,60 ms,0.7 s,1.2 s,08/21/2023
