"Url Tested","Mobile Performance","Mobile Accessibility","Mobile Best Practices","Mobile Seo","M FCP","M LCP","M CLS","M TBT","M TTI","M SI","Desktop Performance","Desktop Accessibility","Desktop Best Practices","Desktop Seo","D FCP","D LCP","D CLS","D TBT","D TTI","D SI","Date & Time"
https://www.professionaldrivers.com/blog/,97,100,100,100,0.7 s,0.8 s,0,190 ms,1.8 s,2.7 s,95,100,100,100,0.9 s,1.0 s,0.001,190 ms,1.8 s,2.7 s,07/08/2023
https://www.professionaldrivers.com/,99,100,100,100,0.3 s,0.6 s,0,110 ms,1.4 s,0.5 s,96,100,100,100,0.4 s,0.7 s,0.005,110 ms,1.4 s,0.5 s,07/08/2023
https://www.professionaldrivers.com/about-us/reviews/,97,100,100,100,0.4 s,0.7 s,0,200 ms,1.6 s,0.6 s,95,100,100,100,0.4 s,0.7 s,0.006,200 ms,1.6 s,0.6 s,07/08/2023
https://www.professionaldrivers.com/get-a-quote/,98,100,100,100,0.4 s,0.7 s,0,160 ms,1.6 s,0.6 s,98,100,100,100,0.3 s,0.6 s,0.026,160 ms,1.6 s,0.6 s,07/08/2023
https://www.professionaldrivers.com/services/hire-a-driver/,98,100,100,100,0.5 s,0.6 s,0,180 ms,1.7 s,0.7 s,96,100,100,100,0.3 s,0.6 s,0.001,180 ms,1.7 s,0.7 s,07/08/2023
https://www.professionaldrivers.com/faq/,95,100,100,100,0.3 s,0.6 s,0,260 ms,1.6 s,0.6 s,93,100,100,100,0.4 s,0.7 s,0.016,260 ms,1.6 s,0.6 s,07/08/2023
https://www.professionaldrivers.com/services/,100,100,100,100,0.9 s,1.0 s,0,70 ms,1.8 s,0.9 s,96,100,100,100,0.9 s,1.0 s,0.001,70 ms,1.8 s,0.9 s,07/08/2023
https://www.professionaldrivers.com/services/student-car-delivery/,100,100,100,100,0.6 s,0.6 s,0,80 ms,1.5 s,0.7 s,88,100,100,100,1.3 s,1.3 s,0,80 ms,1.5 s,0.7 s,07/08/2023
https://www.professionaldrivers.com/services/snowbird-auto-transport/,99,100,100,100,0.3 s,0.6 s,0,130 ms,1.5 s,0.5 s,95,100,100,100,0.4 s,0.6 s,0.018,130 ms,1.5 s,0.5 s,07/08/2023
https://www.professionaldrivers.com/services/vehicle-relocation/,100,100,100,100,0.3 s,0.6 s,0,60 ms,1.3 s,0.4 s,98,100,100,100,0.4 s,0.6 s,0.006,60 ms,1.3 s,0.4 s,07/08/2023
https://www.professionaldrivers.com/services/personal-driver/,100,100,100,100,0.3 s,0.6 s,0,50 ms,1.3 s,0.4 s,96,100,100,100,0.4 s,0.7 s,0.016,50 ms,1.3 s,0.4 s,07/08/2023
https://www.professionaldrivers.com/services/military-pov-move/,98,100,100,100,0.6 s,0.7 s,0,170 ms,1.7 s,0.7 s,97,100,100,100,0.7 s,0.7 s,0,170 ms,1.7 s,0.7 s,07/08/2023
https://www.professionaldrivers.com/about-us/contact-us/,98,100,100,100,0.4 s,0.6 s,0,160 ms,1.5 s,0.6 s,99,100,100,100,0.4 s,0.6 s,0.016,160 ms,1.5 s,0.6 s,07/08/2023
https://www.professionaldrivers.com/about-us/,99,100,100,100,0.6 s,0.6 s,0,130 ms,1.6 s,0.7 s,94,100,100,100,0.9 s,1.4 s,0,130 ms,1.6 s,0.7 s,07/08/2023
https://www.professionaldrivers.com/services/rental-truck-driver/,97,100,100,99,1.2 s,1.2 s,0,180 ms,2.2 s,1.2 s,91,100,100,100,1.0 s,1.0 s,0,180 ms,2.2 s,1.2 s,07/08/2023
https://www.professionaldrivers.com/services/car-transport/,98,100,100,99,0.6 s,0.7 s,0,160 ms,1.7 s,0.8 s,96,100,100,100,0.9 s,1.0 s,0,160 ms,1.7 s,0.8 s,07/08/2023
https://www.professionaldrivers.com/blog/snowbird-car-transport/,96,100,100,98,0.4 s,0.6 s,0,230 ms,1.6 s,0.5 s,99,100,100,100,0.6 s,0.7 s,0,230 ms,1.6 s,0.5 s,07/08/2023
https://www.professionaldrivers.com/blog/ship-a-car/,100,100,100,98,0.6 s,0.7 s,0.002,60 ms,1.7 s,0.7 s,99,100,100,100,0.7 s,0.7 s,0.015,60 ms,1.7 s,0.7 s,07/08/2023
https://www.professionaldrivers.com/blog/pet-shipping/,96,100,100,98,0.6 s,0.6 s,0.002,210 ms,1.6 s,0.6 s,99,100,100,100,0.3 s,0.6 s,0.006,210 ms,1.6 s,0.6 s,07/08/2023
https://www.professionaldrivers.com/blog/personal-drivers/,96,100,100,98,0.7 s,0.7 s,0.002,240 ms,1.9 s,0.9 s,92,100,100,100,0.7 s,0.7 s,0.015,240 ms,1.9 s,0.9 s,07/08/2023
https://www.professionaldrivers.com/blog/rented-truck-driver/,99,100,100,98,0.5 s,0.6 s,0,120 ms,1.4 s,0.6 s,94,100,100,100,0.4 s,0.7 s,0.016,120 ms,1.4 s,0.6 s,07/08/2023
https://www.professionaldrivers.com/blog/car-transport-service/,94,100,100,98,0.6 s,0.6 s,0,290 ms,1.7 s,0.7 s,84,100,100,100,0.4 s,0.7 s,0.017,290 ms,1.7 s,0.7 s,07/08/2023
https://www.professionaldrivers.com/contracts/terms-of-service/,96,100,100,100,1.5 s,1.5 s,0,210 ms,2.5 s,1.5 s,99,100,100,100,0.7 s,0.7 s,0,210 ms,2.5 s,1.5 s,07/08/2023
https://www.professionaldrivers.com/about-us/our-process/,95,100,100,100,0.4 s,0.7 s,0,250 ms,1.7 s,0.7 s,99,100,100,100,0.4 s,0.6 s,0.016,250 ms,1.7 s,0.7 s,07/08/2023
https://www.professionaldrivers.com/services/pet-transport-service/,99,100,100,100,0.4 s,0.6 s,0,140 ms,1.5 s,0.6 s,94,100,100,100,0.4 s,0.6 s,0.006,140 ms,1.5 s,0.6 s,07/08/2023
