"Url Tested","Mobile Performance","Mobile Accessibility","Mobile Best Practices","Mobile Seo","M FCP","M LCP","M CLS","M TBT","M TTI","M SI","Desktop Performance","Desktop Accessibility","Desktop Best Practices","Desktop Seo","D FCP","D LCP","D CLS","D TBT","D TTI","D SI","Date & Time"
https://www.professionaldrivers.com/blog/,98,100,100,100,0.4 s,0.6 s,0,170 ms,1.5 s,1.0 s,99,100,100,100,0.4 s,0.6 s,0.014,170 ms,1.5 s,1.0 s,06/30/2023
https://www.professionaldrivers.com/,97,100,100,100,0.6 s,0.7 s,0,190 ms,1.6 s,0.7 s,98,100,100,100,0.4 s,0.7 s,0.016,190 ms,1.6 s,0.7 s,06/30/2023
https://www.professionaldrivers.com/faq/,98,100,100,100,0.4 s,0.6 s,0,170 ms,1.5 s,0.4 s,98,100,100,100,0.4 s,0.6 s,0.016,170 ms,1.5 s,0.4 s,06/30/2023
https://www.professionaldrivers.com/about-us/reviews/,97,100,100,100,0.3 s,0.6 s,0,200 ms,1.5 s,0.5 s,98,100,100,100,0.4 s,0.7 s,0,200 ms,1.5 s,0.5 s,06/30/2023
https://www.professionaldrivers.com/services/,99,100,100,100,0.4 s,0.7 s,0,100 ms,1.4 s,0.5 s,100,100,100,100,0.6 s,0.7 s,0,100 ms,1.4 s,0.5 s,06/30/2023
https://www.professionaldrivers.com/services/student-car-delivery/,98,100,100,100,0.4 s,0.6 s,0,180 ms,1.6 s,0.8 s,99,100,100,100,0.3 s,0.6 s,0.016,180 ms,1.6 s,0.8 s,06/30/2023
https://www.professionaldrivers.com/services/snowbird-auto-transport/,95,100,100,100,0.6 s,0.6 s,0,250 ms,1.7 s,0.7 s,100,100,100,100,0.5 s,0.6 s,0,250 ms,1.7 s,0.7 s,06/30/2023
https://www.professionaldrivers.com/services/hire-a-driver/,100,100,100,100,0.3 s,0.6 s,0,60 ms,1.3 s,0.4 s,93,100,100,100,0.4 s,0.6 s,0.006,60 ms,1.3 s,0.4 s,06/30/2023
https://www.professionaldrivers.com/services/vehicle-relocation/,95,100,100,100,0.4 s,0.6 s,0,260 ms,1.6 s,0.9 s,86,100,100,100,0.4 s,0.7 s,0.016,260 ms,1.6 s,0.9 s,06/30/2023
https://www.professionaldrivers.com/services/personal-driver/,94,100,100,100,0.4 s,0.7 s,0,290 ms,1.7 s,0.8 s,98,100,100,100,0.3 s,0.6 s,0.014,290 ms,1.7 s,0.8 s,06/30/2023
https://www.professionaldrivers.com/services/military-pov-move/,90,100,100,100,0.4 s,0.6 s,0,410 ms,1.8 s,1.0 s,98,100,100,100,0.4 s,0.6 s,0.014,410 ms,1.8 s,1.0 s,06/30/2023
https://www.professionaldrivers.com/about-us/contact-us/,99,100,100,100,0.3 s,0.6 s,0,90 ms,1.4 s,0.4 s,98,100,100,100,0.4 s,0.6 s,0.016,90 ms,1.4 s,0.4 s,06/30/2023
https://www.professionaldrivers.com/about-us/,98,100,100,100,0.6 s,0.6 s,0,160 ms,1.5 s,0.6 s,98,100,100,100,0.4 s,1.0 s,0.006,160 ms,1.5 s,0.6 s,06/30/2023
https://www.professionaldrivers.com/get-a-quote/,99,100,100,100,0.4 s,0.6 s,0,120 ms,1.5 s,0.6 s,87,100,100,100,0.4 s,0.7 s,0.016,120 ms,1.5 s,0.6 s,06/30/2023
https://www.professionaldrivers.com/services/rental-truck-driver/,100,100,100,99,0.6 s,0.7 s,0,70 ms,1.3 s,0.6 s,99,100,100,100,0.6 s,0.6 s,0,70 ms,1.3 s,0.6 s,06/30/2023
https://www.professionaldrivers.com/services/car-transport/,98,100,100,99,0.3 s,0.6 s,0,150 ms,1.5 s,0.5 s,99,100,100,100,0.3 s,0.6 s,0.006,150 ms,1.5 s,0.5 s,06/30/2023
https://www.professionaldrivers.com/blog/snowbird-car-transport/,95,100,100,98,0.4 s,0.6 s,0,260 ms,1.7 s,0.9 s,96,100,100,100,0.3 s,0.7 s,0.017,260 ms,1.7 s,0.9 s,06/30/2023
https://www.professionaldrivers.com/blog/ship-a-car/,97,100,100,98,0.6 s,0.6 s,0,200 ms,1.5 s,0.8 s,99,100,100,100,0.5 s,0.6 s,0,200 ms,1.5 s,0.8 s,06/30/2023
https://www.professionaldrivers.com/blog/pet-shipping/,96,100,100,98,0.6 s,0.6 s,0,250 ms,1.6 s,0.6 s,99,100,100,100,0.3 s,0.6 s,0.023,250 ms,1.6 s,0.6 s,06/30/2023
https://www.professionaldrivers.com/blog/personal-drivers/,97,100,100,98,0.4 s,0.6 s,0,200 ms,1.6 s,0.9 s,89,100,100,100,0.4 s,0.7 s,0.016,200 ms,1.6 s,0.9 s,06/30/2023
https://www.professionaldrivers.com/blog/rented-truck-driver/,98,100,100,98,0.4 s,0.6 s,0,170 ms,1.5 s,0.8 s,99,100,100,100,0.3 s,0.6 s,0.014,170 ms,1.5 s,0.8 s,06/30/2023
https://www.professionaldrivers.com/blog/car-transport-service/,94,100,100,98,0.6 s,0.6 s,0,290 ms,1.6 s,0.6 s,100,100,100,100,0.3 s,0.7 s,0.001,290 ms,1.6 s,0.6 s,06/30/2023
https://www.professionaldrivers.com/contracts/terms-of-service/,99,100,100,100,0.3 s,0.6 s,0,140 ms,1.5 s,0.5 s,91,100,100,100,0.4 s,0.6 s,0.016,140 ms,1.5 s,0.5 s,06/30/2023
https://www.professionaldrivers.com/about-us/our-process/,100,100,100,100,0.3 s,0.6 s,0,70 ms,1.2 s,0.4 s,99,100,100,100,0.3 s,0.6 s,0.006,70 ms,1.2 s,0.4 s,06/30/2023
https://www.professionaldrivers.com/services/pet-transport-service/,97,100,100,100,0.4 s,0.6 s,0,190 ms,1.6 s,0.6 s,95,100,100,100,0.4 s,0.6 s,0.023,190 ms,1.6 s,0.6 s,06/30/2023
https://www.professionaldrivers.com/faq/rental-truck-driver-faq/,95,100,100,99,0.3 s,0.6 s,0.002,250 ms,1.6 s,0.7 s,96,100,100,100,0.4 s,0.7 s,0.016,250 ms,1.6 s,0.7 s,06/30/2023
https://www.professionaldrivers.com/faq/snowbird-auto-transport-faq/,99,100,100,100,0.3 s,0.6 s,0,140 ms,1.4 s,0.5 s,99,100,100,100,0.4 s,0.6 s,0.016,140 ms,1.4 s,0.5 s,06/30/2023
https://www.professionaldrivers.com/about-us/testimonials/,99,100,100,100,0.6 s,0.6 s,0,140 ms,1.5 s,0.6 s,99,100,100,100,0.6 s,0.7 s,0,140 ms,1.5 s,0.6 s,06/30/2023
https://www.professionaldrivers.com/hire-a-driver-for-cross-country-road-trip/,97,100,100,100,0.3 s,0.6 s,0,190 ms,1.5 s,0.5 s,100,100,100,100,0.3 s,0.6 s,0.006,190 ms,1.5 s,0.5 s,06/30/2023
https://www.professionaldrivers.com/sitemap/,100,98,100,100,0.3 s,0.6 s,0,80 ms,1.4 s,0.5 s,98,98,100,100,0.4 s,0.6 s,0.016,80 ms,1.4 s,0.5 s,06/30/2023
https://www.professionaldrivers.com/contracts/,99,100,100,100,0.3 s,0.6 s,0,100 ms,1.3 s,0.4 s,86,100,100,100,0.4 s,0.7 s,0.016,100 ms,1.3 s,0.4 s,06/30/2023
https://www.professionaldrivers.com/resources/professional-drivers-video-tour/,97,100,100,100,0.3 s,1.1 s,0,210 ms,1.5 s,0.5 s,97,100,100,100,0.3 s,1.0 s,0.007,210 ms,1.5 s,0.5 s,06/30/2023
https://www.professionaldrivers.com/services/fleet-services/,95,100,100,100,0.4 s,0.6 s,0,250 ms,1.6 s,0.9 s,100,100,100,100,0.3 s,0.6 s,0.016,250 ms,1.6 s,0.9 s,06/30/2023
https://www.professionaldrivers.com/about-us/driving-jobs/,100,100,100,100,0.3 s,0.6 s,0,60 ms,1.3 s,0.4 s,96,100,100,100,0.3 s,0.6 s,0,60 ms,1.3 s,0.4 s,06/30/2023
https://www.professionaldrivers.com/resources/,99,100,100,100,0.4 s,0.6 s,0,140 ms,1.5 s,0.5 s,97,100,100,100,0.4 s,0.6 s,0.005,140 ms,1.5 s,0.5 s,06/30/2023
https://www.professionaldrivers.com/faq/student-car-delivery-faq/,96,100,100,100,0.4 s,0.6 s,0,220 ms,1.6 s,0.6 s,99,100,100,100,0.3 s,0.6 s,0.06,220 ms,1.6 s,0.6 s,06/30/2023
https://www.professionaldrivers.com/faq/military-pov-moves-faq/,99,100,100,100,0.3 s,0.6 s,0,110 ms,1.3 s,0.5 s,100,100,100,100,0.3 s,0.6 s,0.017,110 ms,1.3 s,0.5 s,06/30/2023
