"Url Tested","Mobile Performance","Mobile Accessibility","Mobile Best Practices","Mobile Seo","M FCP","M LCP","M CLS","M TBT","M TTI","M SI","Desktop Performance","Desktop Accessibility","Desktop Best Practices","Desktop Seo","D FCP","D LCP","D CLS","D TBT","D TTI","D SI","Date & Time"
https://www.professionaldrivers.com/blog/,74,94,77,93,1.0 s,2.6 s,0.014,550 ms,3.4 s,9.4 s,67,95,77,92,0.6 s,1.6 s,0.02,550 ms,3.4 s,9.4 s,09/21/2023
https://www.professionaldrivers.com/,88,95,77,93,1.0 s,1.5 s,0,460 ms,3.6 s,1.7 s,75,95,77,92,0.6 s,0.8 s,0.007,460 ms,3.6 s,1.7 s,09/21/2023
https://www.professionaldrivers.com/about-us/reviews/,76,95,77,93,1.0 s,1.9 s,0.104,530 ms,3.3 s,7.1 s,73,95,77,92,0.7 s,0.9 s,0,530 ms,3.3 s,7.1 s,09/21/2023
https://www.professionaldrivers.com/about-us/contact-us/,79,100,77,100,1.0 s,3.0 s,0.107,500 ms,3.9 s,2.6 s,71,95,77,92,0.6 s,0.9 s,0,500 ms,3.9 s,2.6 s,09/21/2023
https://www.professionaldrivers.com/get-a-quote/,85,95,77,93,0.9 s,1.4 s,0,610 ms,3.4 s,1.7 s,70,95,77,92,0.7 s,0.9 s,0.006,610 ms,3.4 s,1.7 s,09/21/2023
https://www.professionaldrivers.com/services/rental-truck-driver/,90,95,77,93,1.1 s,1.4 s,0,390 ms,3.0 s,1.8 s,73,91,77,92,0.6 s,0.8 s,0.002,390 ms,3.0 s,1.8 s,09/21/2023
https://www.professionaldrivers.com/faq/rental-truck-driver-faq/,92,95,77,93,1.1 s,1.3 s,0,330 ms,3.1 s,1.7 s,73,95,77,92,0.7 s,0.8 s,0.002,330 ms,3.1 s,1.7 s,09/21/2023
https://www.professionaldrivers.com/services/car-shipping/,87,100,77,100,0.9 s,1.2 s,0,520 ms,3.2 s,1.5 s,71,95,77,92,0.6 s,1.0 s,0,520 ms,3.2 s,1.5 s,09/21/2023
https://www.professionaldrivers.com/services/student-car-delivery/,80,95,73,93,1.1 s,1.5 s,0,830 ms,4.0 s,2.0 s,73,95,73,92,0.6 s,0.8 s,0.012,830 ms,4.0 s,2.0 s,09/21/2023
https://www.professionaldrivers.com/faq/,88,94,77,93,0.9 s,1.5 s,0,480 ms,3.0 s,1.7 s,89,95,77,92,0.6 s,0.8 s,0,480 ms,3.0 s,1.7 s,09/21/2023
