"Url Tested","Mobile Performance","Mobile Accessibility","Mobile Best Practices","Mobile Seo","M FCP","M LCP","M CLS","M TBT","M TTI","M SI",MDOM_Size,"Desktop Performance","Desktop Accessibility","Desktop Best Practices","Desktop Seo","D FCP","D LCP","D CLS","D TBT","D TTI","D SI",DDOM_Size,"Date & Time"
https://www.personaldrivers.com/blog/,98,100,100,100,0.4 s,1.0 s,0,150 ms,0.7 s,0.9 s,666,100,100,100,100,0.3 s,0.4 s,0,150 ms,0.7 s,0.9 s,666,03/26/2024
https://www.personaldrivers.com/hire-a-driver/ultimate-luxury-road-trips/,100,100,100,100,0.5 s,1.6 s,0,50 ms,0.6 s,0.7 s,559,100,100,100,100,0.3 s,0.3 s,0,50 ms,0.6 s,0.7 s,559,03/26/2024
https://www.personaldrivers.com/hire-a-driver/how-much-does-it-cost-to-hire-someone-to-drive-you-around/,100,100,100,100,0.5 s,0.7 s,0,0 ms,0.6 s,0.7 s,708,100,100,100,100,0.4 s,0.5 s,0,0 ms,0.6 s,0.7 s,708,03/26/2024
https://www.personaldrivers.com/personal-driver/ultimate-guide-to-personal-driver-costs/,100,100,100,100,0.5 s,0.8 s,0,70 ms,0.6 s,0.7 s,743,100,100,100,100,0.4 s,0.4 s,0,70 ms,0.6 s,0.7 s,743,03/26/2024
https://www.personaldrivers.com/personal-driver/5-reasons-hiring-a-personal-driver/,100,100,100,100,0.5 s,0.8 s,0,50 ms,0.6 s,0.7 s,554,100,100,100,100,0.3 s,0.4 s,0,50 ms,0.6 s,0.7 s,554,03/26/2024
https://www.personaldrivers.com/personal-driver/plan-perfect-road-trip-with-personal-driver/,100,100,100,100,0.5 s,0.7 s,0,70 ms,0.7 s,0.8 s,603,99,100,100,100,0.3 s,0.4 s,0,70 ms,0.7 s,0.8 s,603,03/26/2024
https://www.personaldrivers.com/car-delivery/why-not-drive-car-for-vehicle-relocation/,100,100,100,100,0.5 s,0.8 s,0,40 ms,0.6 s,0.7 s,560,100,100,100,100,0.4 s,0.4 s,0.006,40 ms,0.6 s,0.7 s,560,03/26/2024
https://www.personaldrivers.com/rental-truck-driver/professional-rental-truck-driver-best-for-long-distance-move/,100,100,100,100,0.5 s,0.8 s,0,50 ms,0.6 s,0.7 s,617,100,100,100,100,0.3 s,0.3 s,0,50 ms,0.6 s,0.7 s,617,03/26/2024
https://www.personaldrivers.com/hire-a-driver/top-10-benefits-of-hire-a-driver-service/,100,100,100,100,0.5 s,0.8 s,0,30 ms,0.6 s,0.6 s,659,100,100,100,100,0.3 s,0.4 s,0,30 ms,0.6 s,0.6 s,659,03/26/2024
https://www.personaldrivers.com/road-trip-driver/safe-and-stress-free-family-road-trip-with-road-trip-driver/,100,100,100,100,0.5 s,0.8 s,0,40 ms,0.6 s,0.7 s,622,100,100,100,100,0.4 s,0.4 s,0,40 ms,0.6 s,0.7 s,622,03/26/2024
https://www.personaldrivers.com/rv-driver/rv-driver-enhances-rv-adventure/,100,100,100,100,0.6 s,0.8 s,0,90 ms,0.7 s,0.8 s,565,100,100,100,100,0.4 s,0.4 s,0,90 ms,0.7 s,0.8 s,565,03/26/2024
https://www.personaldrivers.com/rental-truck-driver/hire-a-moving-truck-driver-to-simplify-long-distance-diy-move/,100,100,100,100,0.6 s,0.9 s,0,70 ms,0.7 s,0.8 s,611,100,100,100,100,0.3 s,0.4 s,0,70 ms,0.7 s,0.8 s,611,03/26/2024
https://www.personaldrivers.com/rental-truck-driver/rental-truck-contract/,100,100,100,100,0.6 s,0.8 s,0,40 ms,0.7 s,0.8 s,745,100,100,100,100,0.5 s,0.5 s,0,40 ms,0.7 s,0.8 s,745,03/26/2024
https://www.personaldrivers.com/,98,100,100,100,0.4 s,1.1 s,0,150 ms,0.6 s,0.8 s,799,97,100,100,100,0.3 s,0.4 s,0.007,150 ms,0.6 s,0.8 s,799,03/26/2024
https://www.personaldrivers.com/prices-and-services/hire-a-personal-driver/,100,97,100,100,0.6 s,0.8 s,0,90 ms,0.7 s,0.8 s,885,100,97,100,100,0.4 s,0.4 s,0.007,90 ms,0.7 s,0.8 s,885,03/26/2024
https://www.personaldrivers.com/prices-and-services/,100,97,100,93,0.5 s,0.8 s,0,60 ms,0.6 s,0.6 s,636,100,97,100,92,0.3 s,0.4 s,0.008,60 ms,0.6 s,0.6 s,637,03/26/2024
https://www.personaldrivers.com/prices-and-services/hire-a-driver/,100,100,100,98,0.5 s,0.9 s,0,70 ms,0.6 s,0.6 s,658,100,100,100,100,0.2 s,0.3 s,0.009,70 ms,0.6 s,0.6 s,660,03/26/2024
https://www.personaldrivers.com/prices-and-services/long-distance-driver/,99,100,100,99,0.5 s,0.7 s,0,100 ms,0.7 s,0.7 s,644,99,100,100,100,0.4 s,0.5 s,0.009,100 ms,0.7 s,0.7 s,644,03/26/2024
https://www.personaldrivers.com/video-library/hire-a-driver-intro-video/,100,100,100,100,0.4 s,0.8 s,0,10 ms,0.6 s,0.6 s,461,100,100,100,100,0.2 s,0.3 s,0.006,10 ms,0.6 s,0.6 s,461,03/26/2024
https://www.personaldrivers.com/prices-and-services/rental-truck-driver/,100,100,100,100,0.5 s,0.7 s,0,30 ms,0.6 s,0.6 s,691,100,100,100,100,0.4 s,0.4 s,0.007,30 ms,0.6 s,0.6 s,691,03/26/2024
