"Url Tested","Mobile Performance","Mobile Accessibility","Mobile Best Practices","Mobile Seo","M FCP","M LCP","M CLS","M TBT","M TTI","M SI",MDOM_Size,"Desktop Performance","Desktop Accessibility","Desktop Best Practices","Desktop Seo","D FCP","D LCP","D CLS","D TBT","D TTI","D SI",DDOM_Size,"Date & Time"
https://www.personaldrivers.com/blog/,100,100,100,100,0.5 s,0.9 s,0,30 ms,0.6 s,0.9 s,665,100,100,100,100,0.3 s,0.3 s,0,30 ms,0.6 s,0.9 s,665,03/21/2024
https://www.personaldrivers.com/personal-driver/ultimate-guide-to-personal-driver-costs/,100,100,100,100,0.5 s,0.8 s,0,40 ms,0.6 s,0.7 s,742,100,100,100,100,0.5 s,0.5 s,0,40 ms,0.6 s,0.7 s,742,03/21/2024
https://www.personaldrivers.com/personal-driver/5-reasons-hiring-a-personal-driver/,100,100,100,100,0.5 s,0.8 s,0,50 ms,0.6 s,0.7 s,547,99,100,100,100,0.3 s,0.3 s,0,50 ms,0.6 s,0.7 s,547,03/21/2024
https://www.personaldrivers.com/personal-driver/plan-perfect-road-trip-with-personal-driver/,100,100,100,100,0.4 s,0.7 s,0,50 ms,0.5 s,0.6 s,602,100,100,100,100,0.3 s,0.4 s,0,50 ms,0.5 s,0.6 s,602,03/21/2024
https://www.personaldrivers.com/hire-a-driver/ultimate-luxury-road-trips/,100,100,100,100,0.6 s,0.9 s,0,20 ms,0.6 s,0.7 s,564,100,100,100,100,0.3 s,0.4 s,0,20 ms,0.6 s,0.7 s,564,03/21/2024
https://www.personaldrivers.com/hire-a-driver/how-much-does-it-cost-to-hire-someone-to-drive-you-around/,99,92,100,100,0.4 s,0.7 s,0,90 ms,0.6 s,0.7 s,707,100,92,100,100,0.3 s,0.3 s,0,90 ms,0.6 s,0.7 s,707,03/21/2024
https://www.personaldrivers.com/car-delivery/why-not-drive-car-for-vehicle-relocation/,100,100,100,100,0.5 s,0.8 s,0,60 ms,0.7 s,0.7 s,559,100,100,100,100,0.3 s,0.4 s,0,60 ms,0.7 s,0.7 s,559,03/21/2024
https://www.personaldrivers.com/rental-truck-driver/professional-rental-truck-driver-best-for-long-distance-move/,100,100,100,100,0.5 s,0.7 s,0,30 ms,0.5 s,0.6 s,616,100,100,100,100,0.3 s,0.3 s,0,30 ms,0.5 s,0.6 s,616,03/21/2024
https://www.personaldrivers.com/hire-a-driver/top-10-benefits-of-hire-a-driver-service/,100,100,100,100,0.4 s,0.8 s,0,60 ms,0.6 s,0.6 s,658,100,100,100,100,0.3 s,0.4 s,0,60 ms,0.6 s,0.6 s,658,03/21/2024
https://www.personaldrivers.com/road-trip-driver/safe-and-stress-free-family-road-trip-with-road-trip-driver/,100,100,100,100,0.5 s,0.8 s,0,60 ms,0.6 s,0.7 s,621,100,100,100,100,0.4 s,0.4 s,0,60 ms,0.6 s,0.7 s,621,03/21/2024
https://www.personaldrivers.com/rv-driver/rv-driver-enhances-rv-adventure/,100,100,100,100,0.5 s,0.7 s,0,90 ms,0.7 s,0.7 s,564,100,100,100,100,0.4 s,0.4 s,0,90 ms,0.7 s,0.7 s,564,03/21/2024
https://www.personaldrivers.com/rental-truck-driver/hire-a-moving-truck-driver-to-simplify-long-distance-diy-move/,100,100,100,100,0.4 s,0.8 s,0,60 ms,0.6 s,0.7 s,610,100,100,100,100,0.3 s,0.4 s,0,60 ms,0.6 s,0.7 s,610,03/21/2024
https://www.personaldrivers.com/rental-truck-driver/rental-truck-contract/,98,100,100,100,0.5 s,0.8 s,0,150 ms,0.7 s,0.8 s,744,100,100,100,100,0.5 s,0.5 s,0,150 ms,0.7 s,0.8 s,744,03/21/2024
https://www.personaldrivers.com/,99,97,100,100,0.5 s,0.8 s,0,100 ms,0.7 s,0.8 s,774,99,97,100,100,0.3 s,0.4 s,0.006,100 ms,0.7 s,0.8 s,774,03/21/2024
https://www.personaldrivers.com/prices-and-services/hire-a-personal-driver/,99,93,100,100,0.7 s,0.8 s,0,110 ms,0.8 s,1.0 s,882,100,93,100,100,0.4 s,0.4 s,0.008,110 ms,0.8 s,1.0 s,882,03/21/2024
https://www.personaldrivers.com/prices-and-services/hire-a-long-distance-driver/,100,95,100,100,0.6 s,0.8 s,0,80 ms,0.7 s,0.8 s,683,100,95,100,100,0.4 s,0.5 s,0.008,80 ms,0.7 s,0.8 s,683,03/21/2024
https://www.personaldrivers.com/prices-and-services/private-driver/,98,100,100,100,0.5 s,0.8 s,0,180 ms,0.8 s,0.8 s,825,100,100,100,100,0.5 s,0.6 s,0.008,180 ms,0.8 s,0.8 s,825,03/21/2024
https://www.personaldrivers.com/customer-experiences/medical-transport-across-states/,100,100,100,100,0.6 s,0.9 s,0,40 ms,0.8 s,0.8 s,479,100,100,100,100,0.3 s,0.4 s,0,40 ms,0.8 s,0.8 s,480,03/21/2024
https://www.personaldrivers.com/customer-experiences/convention-equipment-delivery/,100,100,100,100,0.4 s,0.7 s,0,70 ms,0.6 s,0.6 s,482,100,100,100,100,0.3 s,0.4 s,0,70 ms,0.6 s,0.6 s,483,03/21/2024
https://www.personaldrivers.com/prices-and-services/pet-transport/,99,100,100,100,0.6 s,0.9 s,0,100 ms,0.8 s,0.8 s,633,100,100,100,100,0.5 s,0.5 s,0.008,100 ms,0.8 s,0.8 s,633,03/21/2024
https://www.personaldrivers.com/prices-and-services/,100,97,100,100,0.5 s,0.7 s,0,50 ms,0.6 s,1.4 s,639,100,97,100,100,0.4 s,0.4 s,0.007,50 ms,0.6 s,1.4 s,641,03/21/2024
https://www.personaldrivers.com/prices-and-services/hire-a-snowbird-transport-driver/,99,100,100,100,0.4 s,0.7 s,0,120 ms,0.6 s,1.1 s,854,100,100,100,100,0.4 s,0.5 s,0.008,120 ms,0.6 s,1.1 s,856,03/21/2024
https://www.personaldrivers.com/prices-and-services/rental-truck-driver/,100,100,100,100,0.6 s,0.7 s,0,60 ms,0.7 s,1.3 s,690,100,100,100,100,0.4 s,0.5 s,0.008,60 ms,0.7 s,1.3 s,690,03/21/2024
