"Url Tested","Mobile Performance","Mobile Accessibility","Mobile Best Practices","Mobile Seo","M FCP","M LCP","M CLS","M TBT","M TTI","M SI","Desktop Performance","Desktop Accessibility","Desktop Best Practices","Desktop Seo","D FCP","D LCP","D CLS","D TBT","D TTI","D SI","Date & Time"
https://landscapewaco.com/landscaping-blog/,100,100,100,86,0.4 s,0.8 s,0,0 ms,0.4 s,1.0 s,100,100,100,83,0.4 s,0.8 s,0,0 ms,0.4 s,1.0 s,07/15/2023
https://landscapewaco.com/,100,100,100,92,0.3 s,0.8 s,0,10 ms,0.4 s,0.4 s,99,100,75,92,0.4 s,0.9 s,0,10 ms,0.4 s,0.4 s,07/15/2023
https://landscapewaco.com/site-map/,100,96,100,92,0.5 s,0.8 s,0.001,10 ms,0.7 s,1.3 s,100,96,100,92,0.3 s,0.8 s,0,10 ms,0.7 s,1.3 s,07/15/2023
https://landscapewaco.com/sample-page/,100,100,100,93,1.0 s,1.2 s,0,0 ms,1.0 s,1.4 s,97,100,100,92,0.4 s,1.2 s,0,0 ms,1.0 s,1.4 s,07/15/2023
https://landscapewaco.com/portfolio/woodfield/,99,100,100,86,0.4 s,0.8 s,0,110 ms,1.8 s,1.9 s,99,100,100,83,0.4 s,0.7 s,0,110 ms,1.8 s,1.9 s,07/15/2023
https://landscapewaco.com/portfolio/badger-ranch/,100,100,100,86,0.4 s,0.8 s,0,50 ms,1.7 s,1.5 s,99,100,100,83,0.4 s,0.8 s,0,50 ms,1.7 s,1.5 s,07/15/2023
https://landscapewaco.com/landscaping-services-tx/landscape-lighting/,100,100,100,93,0.3 s,0.7 s,0,0 ms,0.4 s,0.4 s,99,100,100,92,0.4 s,0.8 s,0,0 ms,0.4 s,0.4 s,07/15/2023
https://landscapewaco.com/testimonial/,100,100,100,86,0.4 s,0.8 s,0,20 ms,1.9 s,1.0 s,99,100,100,83,0.4 s,0.8 s,0,20 ms,1.9 s,1.0 s,07/15/2023
https://landscapewaco.com/grounds-maintenance/,100,100,100,93,0.4 s,0.8 s,0,0 ms,0.4 s,0.7 s,100,100,100,92,0.4 s,0.8 s,0,0 ms,0.4 s,0.7 s,07/15/2023
https://landscapewaco.com/landscaping-services-tx/artificial-turf/,100,100,100,93,0.4 s,0.8 s,0,0 ms,0.4 s,0.6 s,100,100,100,92,0.3 s,0.7 s,0,0 ms,0.4 s,0.6 s,07/15/2023
https://landscapewaco.com/portfolio/,100,100,100,86,0.4 s,0.8 s,0,0 ms,0.5 s,1.2 s,100,100,100,83,0.3 s,0.8 s,0,0 ms,0.5 s,1.2 s,07/15/2023
https://landscapewaco.com/sprinkler-services-tx/,100,100,100,93,0.6 s,1.0 s,0.003,0 ms,0.6 s,1.3 s,86,100,100,92,0.6 s,1.1 s,0.415,0 ms,0.6 s,1.3 s,07/15/2023
