"Url Tested","Mobile Performance","Mobile Accessibility","Mobile Best Practices","Mobile Seo","M FCP","M LCP","M CLS","M TBT","M TTI","M SI",MDOM_Size,"Desktop Performance","Desktop Accessibility","Desktop Best Practices","Desktop Seo","D FCP","D LCP","D CLS","D TBT","D TTI","D SI",DDOM_Size,"Date & Time"
https://www.theperfectlawn.com/,93,100,100,100,0.4 s,0.8 s,0,300 ms,0.8 s,1.0 s,791,93,100,100,100,0.2 s,0.4 s,0,300 ms,0.8 s,1.0 s,791,04/05/2024
https://www.theperfectlawn.com/services/artificial-grass-maintenance/,100,100,100,100,0.5 s,0.6 s,0,0 ms,0.6 s,0.6 s,469,98,100,100,100,0.2 s,0.3 s,0,0 ms,0.6 s,0.6 s,469,04/05/2024
https://www.theperfectlawn.com/services/putting-green-turf/,100,100,100,100,0.5 s,0.6 s,0,0 ms,0.6 s,0.6 s,538,99,96,100,100,0.2 s,0.3 s,0,0 ms,0.6 s,0.6 s,538,04/05/2024
https://www.theperfectlawn.com/services/pet-turf/,100,100,100,100,0.5 s,0.6 s,0.026,0 ms,0.6 s,0.6 s,566,99,100,100,100,0.2 s,0.3 s,0,0 ms,0.6 s,0.6 s,566,04/05/2024
https://www.theperfectlawn.com/about/privacy-policy/,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,0.5 s,463,100,100,100,100,0.1 s,0.2 s,0,0 ms,0.5 s,0.5 s,463,04/05/2024
https://www.theperfectlawn.com/services/synthetic-grass-installation-dallas/,100,100,100,100,0.6 s,0.7 s,0,0 ms,0.7 s,0.7 s,726,96,100,100,100,0.2 s,0.4 s,0,0 ms,0.7 s,0.7 s,726,04/05/2024
https://www.theperfectlawn.com/about/reviews/,98,100,100,100,0.4 s,0.5 s,0,180 ms,0.7 s,0.7 s,1033,96,100,100,100,0.1 s,0.4 s,0,180 ms,0.7 s,0.7 s,1033,04/05/2024
https://www.theperfectlawn.com/blog/sports-turf/,100,100,100,100,0.3 s,0.4 s,0,80 ms,0.5 s,0.5 s,483,100,100,100,100,0.2 s,0.3 s,0,80 ms,0.5 s,0.5 s,483,04/05/2024
https://www.theperfectlawn.com/blog/putting-green/,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,0.5 s,499,100,100,100,100,0.2 s,0.4 s,0,0 ms,0.5 s,0.5 s,499,04/05/2024
https://www.theperfectlawn.com/blog/artificial-grass/,100,100,100,100,0.4 s,0.5 s,0,90 ms,0.5 s,0.5 s,595,98,100,100,100,0.2 s,0.4 s,0,90 ms,0.5 s,0.5 s,595,04/05/2024
