"Url Tested","Mobile Performance","Mobile Accessibility","Mobile Best Practices","Mobile Seo","M FCP","M LCP","M CLS","M TBT","M TTI","M SI",MDOM_Size,"Desktop Performance","Desktop Accessibility","Desktop Best Practices","Desktop Seo","D FCP","D LCP","D CLS","D TBT","D TTI","D SI",DDOM_Size,"Date & Time"
https://www.theperfectlawn.com/,92,100,100,100,0.4 s,0.7 s,0,350 ms,0.9 s,1.0 s,791,92,100,100,100,0.2 s,0.4 s,0,350 ms,0.9 s,1.0 s,791,04/09/2024
https://www.theperfectlawn.com/services/artificial-grass-maintenance/,100,100,100,100,0.5 s,0.6 s,0,40 ms,0.6 s,0.6 s,469,99,100,100,100,0.2 s,0.4 s,0,40 ms,0.6 s,0.6 s,469,04/09/2024
https://www.theperfectlawn.com/services/putting-green-turf/,99,100,100,100,0.4 s,0.5 s,0,110 ms,0.6 s,0.6 s,538,99,96,100,100,0.2 s,0.3 s,0,110 ms,0.6 s,0.6 s,538,04/09/2024
https://www.theperfectlawn.com/services/pet-turf/,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,0.5 s,566,99,100,100,100,0.2 s,0.3 s,0,0 ms,0.5 s,0.5 s,566,04/09/2024
https://www.theperfectlawn.com/about/privacy-policy/,100,100,100,100,0.4 s,0.4 s,0,0 ms,0.4 s,0.4 s,463,100,100,100,100,0.2 s,0.2 s,0,0 ms,0.4 s,0.4 s,463,04/09/2024
https://www.theperfectlawn.com/services/synthetic-grass-installation-dallas/,99,100,100,100,0.4 s,0.7 s,0,140 ms,0.7 s,0.7 s,726,96,100,100,100,0.2 s,0.3 s,0,140 ms,0.7 s,0.7 s,726,04/09/2024
https://www.theperfectlawn.com/about/reviews/,99,100,100,100,0.4 s,0.5 s,0,140 ms,0.6 s,0.6 s,1033,100,100,100,100,0.1 s,0.3 s,0,140 ms,0.6 s,0.6 s,1033,04/09/2024
https://www.theperfectlawn.com/blog/sports-turf/,100,100,100,100,0.3 s,0.5 s,0,80 ms,0.5 s,0.5 s,517,100,100,100,100,0.1 s,0.2 s,0,80 ms,0.5 s,0.5 s,517,04/09/2024
https://www.theperfectlawn.com/blog/putting-green/,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,0.6 s,515,99,100,100,100,0.2 s,0.3 s,0,0 ms,0.5 s,0.6 s,515,04/09/2024
https://www.theperfectlawn.com/blog/artificial-grass/,100,100,100,100,0.5 s,0.6 s,0,0 ms,0.6 s,0.6 s,647,100,100,100,100,0.2 s,0.3 s,0,0 ms,0.6 s,0.6 s,647,04/09/2024
https://www.theperfectlawn.com/services/artificial-grass-installation/,98,100,100,100,0.4 s,0.6 s,0,160 ms,0.7 s,0.8 s,574,96,100,100,100,0.2 s,0.3 s,0,160 ms,0.7 s,0.8 s,574,04/09/2024
https://www.theperfectlawn.com/faq/pet-turf-faq/,100,100,100,100,0.4 s,0.5 s,0,80 ms,0.5 s,0.5 s,495,99,100,100,100,0.2 s,0.3 s,0,80 ms,0.5 s,0.5 s,495,04/09/2024
https://www.theperfectlawn.com/services/turf-backyard/,100,100,100,100,0.5 s,0.7 s,0,40 ms,0.7 s,0.6 s,615,97,100,100,100,0.2 s,0.3 s,0,40 ms,0.7 s,0.6 s,615,04/09/2024
https://www.theperfectlawn.com/service-locations/,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,0.5 s,1455,100,100,100,100,0.2 s,0.2 s,0.001,0 ms,0.5 s,0.5 s,1455,04/09/2024
