"Url Tested","Mobile Performance","Mobile Accessibility","Mobile Best Practices","Mobile Seo","M FCP","M LCP","M CLS","M TBT","M TTI","M SI",MDOM_Size,"Desktop Performance","Desktop Accessibility","Desktop Best Practices","Desktop Seo","D FCP","D LCP","D CLS","D TBT","D TTI","D SI",DDOM_Size,"Date & Time"
https://www.personaldrivers.com/blog/,100,100,100,100,0.4 s,0.6 s,0,60 ms,0.6 s,0.7 s,667,99,100,100,100,0.2 s,0.3 s,0,60 ms,0.6 s,0.7 s,667,04/24/2024
https://www.personaldrivers.com/hire-a-driver/how-much-does-it-cost-to-hire-someone-to-drive-you-around/,99,100,100,100,0.4 s,0.5 s,0,100 ms,0.6 s,0.6 s,648,98,100,100,100,0.2 s,0.3 s,0,100 ms,0.6 s,0.6 s,648,04/24/2024
https://www.personaldrivers.com/hire-a-driver/ultimate-luxury-road-trips/,99,100,100,100,0.4 s,0.5 s,0,130 ms,0.6 s,0.7 s,566,99,100,100,100,0.2 s,0.4 s,0,130 ms,0.6 s,0.7 s,566,04/24/2024
https://www.personaldrivers.com/personal-driver/ultimate-guide-to-personal-driver-costs/,99,100,100,100,0.4 s,0.5 s,0,120 ms,0.6 s,0.6 s,744,97,100,100,100,0.1 s,0.4 s,0,120 ms,0.6 s,0.6 s,744,04/24/2024
https://www.personaldrivers.com/personal-driver/5-reasons-hiring-a-personal-driver/,99,100,100,100,0.4 s,0.5 s,0,100 ms,0.6 s,0.6 s,555,96,100,100,100,0.2 s,0.3 s,0,100 ms,0.6 s,0.6 s,555,04/24/2024
https://www.personaldrivers.com/personal-driver/plan-perfect-road-trip-with-personal-driver/,99,100,100,100,0.4 s,0.5 s,0,90 ms,0.5 s,0.6 s,604,98,100,100,100,0.2 s,0.3 s,0,90 ms,0.5 s,0.6 s,604,04/24/2024
https://www.personaldrivers.com/car-delivery/why-not-drive-car-for-vehicle-relocation/,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,0.6 s,561,98,100,100,100,0.2 s,0.4 s,0,0 ms,0.5 s,0.6 s,561,04/24/2024
https://www.personaldrivers.com/rental-truck-driver/professional-rental-truck-driver-best-for-long-distance-move/,100,100,100,100,0.4 s,0.5 s,0,0 ms,0.4 s,0.4 s,618,98,100,100,100,0.2 s,0.3 s,0,0 ms,0.4 s,0.4 s,618,04/24/2024
https://www.personaldrivers.com/hire-a-driver/top-10-benefits-of-hire-a-driver-service/,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,0.6 s,660,98,100,100,100,0.1 s,0.4 s,0,0 ms,0.5 s,0.6 s,660,04/24/2024
https://www.personaldrivers.com/road-trip-driver/safe-and-stress-free-family-road-trip-with-road-trip-driver/,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,0.6 s,623,99,100,100,100,0.2 s,0.3 s,0,0 ms,0.5 s,0.6 s,623,04/24/2024
https://www.personaldrivers.com/rv-driver/rv-driver-enhances-rv-adventure/,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,0.5 s,566,99,100,100,100,0.2 s,0.3 s,0,0 ms,0.5 s,0.5 s,566,04/24/2024
https://www.personaldrivers.com/rental-truck-driver/hire-a-moving-truck-driver-to-simplify-long-distance-diy-move/,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,0.6 s,612,99,100,100,100,0.2 s,0.3 s,0,0 ms,0.5 s,0.6 s,612,04/24/2024
https://www.personaldrivers.com/rental-truck-driver/rental-truck-contract/,100,100,100,100,0.6 s,0.6 s,0,0 ms,0.6 s,0.8 s,746,93,100,100,100,0.2 s,0.4 s,0,0 ms,0.6 s,0.8 s,746,04/24/2024
https://www.personaldrivers.com/,100,100,100,100,0.6 s,0.7 s,0,20 ms,0.8 s,0.9 s,801,100,100,100,100,0.4 s,0.5 s,0.013,20 ms,0.8 s,0.9 s,802,04/24/2024
https://www.personaldrivers.com/prices-and-services/car-delivery/,99,100,100,100,0.4 s,0.5 s,0,150 ms,0.6 s,0.6 s,704,99,100,100,100,0.2 s,0.4 s,0.044,150 ms,0.6 s,0.6 s,704,04/24/2024
https://www.personaldrivers.com/get-private-driver-quote/,98,100,100,99,0.4 s,0.6 s,0,160 ms,0.7 s,0.7 s,778,99,100,100,100,0.1 s,0.3 s,0.005,160 ms,0.7 s,0.7 s,778,04/24/2024
